actor_id,actor_name
1828572,Brian Dodd
59153,Robin Givens
10661,Grace Jones
78029,Martin Lawrence
10225,Geoffrey Holder
70243,Eartha Kitt
2632,Chris Rock
141823,Tisha Campbell-Martin
56830,Brigitte Lin
1337,Tony Leung Chiu-Wai
12671,Faye Wong
43661,Takeshi Kaneshiro
119875,Valerie Chow
1618663,Piggy Chan
119877,Kwan Lee-Na
1618664,Wong Chi-Ming
1407506,Leung San
1591060,Rico Chu Tak-On
2166,Sergio Castellitto
258039,Tiziana Lodato
592480,Franco Scaldati
14151,Leopoldo Trieste
652000,Clelia Rondinella
103627,Tano Cimarosa
39618,Nicola Di Pinto
1264236,Costantino Carrozza
1850191,Jane Alexander (III)
126975,Tony Sperandeo
4687,Patricia Arquette
4939,Téa Leoni
21277,Mary Tyler Moore
21278,Alan Alda
18364,George Segal
10437,Lily Tomlin
18259,Jason James Richter
57236,Melody Kay
27111,Kevin McNulty
134061,Tracey Ellis
70851,Jack Black
134063,Carole Finn
95645,Ryan Bollman
12517,Freddie Jones
13364,Julie Cox
189921,Moya Brady
1311669,Amel Hedhili
1311670,Najia Ouerghi
1311671,Fatima Ben Saïdane
1311672,Zahira Ben Ammar
1311673,Sabah Bouzouita
226438,Hend Sabry
1435458,Maggie Cogan
2694,Josh Charles
1230,John Goodman
77133,Christine Lahti
20899,Peter Riegert
39568,Dey Young
12438,Bob Balaban
3033,Wil Wheaton
143151,Miranda Rhyne
196180,Charlotte Eve Blythe
3711,Anna Levine
87707,John Ventimiglia
1590957,Io Tillett Wright
567972,Corban Walker
57298,Anne Parillaud
140230,Niall Toibin
17024,Owen Roe
72466,Colin Farrell
16560,David Caruso
2712,Michael Biehn
58312,Angie Everhart
2517,Donna Murphy
7497,Holt McCallany
47932,David Hunt
222473,Luisito Marti
222477,Alfonso Zayas
71839,Caridad Ravelo
222474,Raúl Carbonell hijo
1809293,Rafael Villalona
1845273,Joel Garcia
1866867,Randolph Feliz
